date,ilipct,flusym,coldsym,fever,hsbball
4-Jan-04,2.602,64,71,51,48
11-Jan-04,1.656,39,52,51,53
18-Jan-04,1.249,29,53,58,54
25-Jan-04,1.13,24,48,56,48
1-Feb-04,1.116,19,48,56,46
8-Feb-04,1.209,21,56,53,55
15-Feb-04,1.182,19,58,55,64
22-Feb-04,1.231,17,53,55,72
29-Feb-04,1.109,13,39,57,83
7-Mar-04,1.033,12,37,55,97
14-Mar-04,0.873,11,34,55,66
21-Mar-04,0.973,12,29,59,49
28-Mar-04,0.876,11,32,56,30
4-Apr-04,0.843,9,39,52,19
11-Apr-04,0.764,7,31,50,14
18-Apr-04,0.765,7,27,54,15
25-Apr-04,0.757,7,34,56,13
2-May-04,0.72,6,25,53,13
9-May-04,0.649,5,30,52,12
16-May-04,0.621,7,24,52,12
23-May-04,0.597,6,27,51,12
30-May-04,0.577,6,31,49,11
6-Jun-04,0.56,7,21,48,11
13-Jun-04,0.478,6,24,46,11
20-Jun-04,0.471,6,30,48,12
27-Jun-04,0.433,5,20,45,11
4-Jul-04,0.408,6,13,46,11
11-Jul-04,0.412,5,15,46,10
18-Jul-04,0.376,5,18,47,11
25-Jul-04,0.356,5,17,47,10
1-Aug-04,0.381,7,27,45,9
8-Aug-04,0.38,5,24,46,9
15-Aug-04,0.402,5,19,45,8
22-Aug-04,0.458,6,30,45,9
29-Aug-04,0.481,7,22,48,10
5-Sep-04,0.532,6,33,49,10
12-Sep-04,0.606,7,39,49,11
19-Sep-04,0.704,9,45,48,12
26-Sep-04,0.779,11,44,49,13
3-Oct-04,0.984,16,50,49,14
10-Oct-04,1.151,27,63,50,14
17-Oct-04,1.362,36,53,48,16
24-Oct-04,1.36,32,60,52,17
31-Oct-04,1.311,33,48,47,20
7-Nov-04,1.434,30,49,49,28
14-Nov-04,1.459,30,51,49,33
21-Nov-04,1.265,31,43,48,38
28-Nov-04,1.548,32,75,51,47
5-Dec-04,1.534,34,52,51,59
12-Dec-04,1.564,32,66,50,55
19-Dec-04,1.783,39,74,48,47
26-Dec-04,2.261,50,78,51,50
2-Jan-05,2.489,46,69,55,50
9-Jan-05,2.078,41,58,55,55
16-Jan-05,2.111,41,75,59,55
23-Jan-05,2.49,45,74,60,57
30-Jan-05,2.971,56,82,62,63
6-Feb-05,3.574,65,85,64,61
13-Feb-05,3.572,71,82,67,68
20-Feb-05,3.176,63,86,63,80
27-Feb-05,2.654,49,63,62,94
6-Mar-05,2.439,38,60,66,100
13-Mar-05,2.164,32,66,67,77
20-Mar-05,1.937,25,56,66,48
27-Mar-05,1.72,21,49,72,35
3-Apr-05,1.498,16,50,100,21
10-Apr-05,1.304,14,42,83,17
17-Apr-05,1.113,11,31,76,16
24-Apr-05,1.101,10,36,67,16
1-May-05,1.049,10,36,61,13
8-May-05,0.98,10,37,62,13
15-May-05,0.943,8,39,58,14
22-May-05,0.871,8,36,55,13
29-May-05,0.745,6,30,54,12
5-Jun-05,0.65,7,27,53,12
12-Jun-05,0.583,7,22,53,13
19-Jun-05,0.561,7,20,51,14
26-Jun-05,0.512,6,24,50,14
3-Jul-05,0.481,7,20,50,11
10-Jul-05,0.488,7,17,51,12
17-Jul-05,0.453,6,18,50,11
24-Jul-05,0.425,6,25,50,11
31-Jul-05,0.429,6,29,48,10
7-Aug-05,0.462,6,29,50,9
14-Aug-05,0.48,7,25,48,10
21-Aug-05,0.522,7,27,50,12
28-Aug-05,0.532,8,31,49,11
4-Sep-05,0.614,7,35,53,10
11-Sep-05,0.757,9,42,55,11
18-Sep-05,0.798,13,42,53,12
25-Sep-05,0.908,17,41,53,13
2-Oct-05,1.034,26,39,53,13
9-Oct-05,1.072,44,43,54,13
16-Oct-05,1.097,36,52,52,15
23-Oct-05,1.173,34,54,53,18
30-Oct-05,1.463,47,47,54,22
6-Nov-05,1.441,41,43,52,28
13-Nov-05,1.478,38,55,53,33
20-Nov-05,1.274,31,51,49,36
27-Nov-05,1.595,34,64,53,51
4-Dec-05,1.514,30,55,51,57
11-Dec-05,1.695,36,68,52,56
18-Dec-05,2.09,39,76,51,48
25-Dec-05,2.427,49,73,56,49
1-Jan-06,2.298,43,71,56,49
8-Jan-06,1.899,36,59,56,55
15-Jan-06,1.647,32,60,53,59
22-Jan-06,1.763,34,64,57,54
29-Jan-06,1.862,29,55,60,58
5-Feb-06,2.017,31,58,60,58
12-Feb-06,2.134,36,62,61,62
19-Feb-06,2.242,41,59,62,84
26-Feb-06,2.263,39,55,67,100
5-Mar-06,2.149,35,55,62,93
12-Mar-06,1.909,33,43,60,71
19-Mar-06,1.828,32,52,61,45
26-Mar-06,1.711,27,40,62,31
2-Apr-06,1.462,23,41,61,18
9-Apr-06,1.203,18,39,60,14
16-Apr-06,1.038,17,31,59,14
23-Apr-06,0.989,14,34,57,14
30-Apr-06,0.94,24,29,56,11
7-May-06,0.898,21,28,58,12
14-May-06,0.857,14,34,57,12
21-May-06,0.828,17,32,56,11
28-May-06,0.724,14,26,56,11
4-Jun-06,0.665,12,24,51,11
11-Jun-06,0.611,10,24,51,11
18-Jun-06,0.569,10,21,50,13
25-Jun-06,0.527,8,25,50,11
2-Jul-06,0.512,8,21,52,10
9-Jul-06,0.494,8,19,48,11
16-Jul-06,0.458,8,20,49,10
23-Jul-06,0.46,7,26,48,10
30-Jul-06,0.448,7,16,50,8
6-Aug-06,0.463,7,21,47,8
13-Aug-06,0.487,8,21,48,9
20-Aug-06,0.509,8,31,49,8
27-Aug-06,0.557,7,29,47,10
3-Sep-06,0.653,8,39,50,9
10-Sep-06,0.786,10,42,49,10
17-Sep-06,0.966,11,51,53,10
24-Sep-06,1.031,13,53,53,12
1-Oct-06,1.054,16,43,56,12
8-Oct-06,1.078,16,47,52,13
15-Oct-06,1.129,17,49,52,14
22-Oct-06,1.256,23,52,54,16
29-Oct-06,1.411,25,53,54,19
5-Nov-06,1.462,27,53,51,23
12-Nov-06,1.563,28,57,53,30
19-Nov-06,1.33,25,56,50,33
26-Nov-06,1.721,33,67,51,46
3-Dec-06,1.718,32,62,53,55
10-Dec-06,1.807,37,60,56,53
17-Dec-06,2.083,38,71,53,48
24-Dec-06,2.425,41,86,53,46
31-Dec-06,2.61,39,87,57,48
7-Jan-07,2.105,34,62,57,53
14-Jan-07,1.78,29,64,62,55
21-Jan-07,2.013,33,61,70,50
28-Jan-07,2.243,34,69,67,58
4-Feb-07,2.594,41,68,67,54
11-Feb-07,2.578,44,69,68,58
18-Feb-07,2.572,42,70,69,77
25-Feb-07,2.423,36,51,71,86
4-Mar-07,2.156,31,64,70,90
11-Mar-07,1.872,25,53,70,67
18-Mar-07,1.761,24,47,63,50
25-Mar-07,1.485,19,48,63,29
1-Apr-07,1.289,17,46,60,16
8-Apr-07,1.31,15,43,59,14
15-Apr-07,1.19,14,36,59,14
22-Apr-07,1.08,11,41,59,11
29-Apr-07,0.968,10,37,57,10
6-May-07,0.887,9,33,59,9
13-May-07,0.849,9,30,58,10
20-May-07,0.782,8,31,55,10
27-May-07,0.741,8,28,54,10
3-Jun-07,0.674,8,28,54,10
10-Jun-07,0.594,7,28,56,10
17-Jun-07,0.558,6,23,52,10
24-Jun-07,0.524,7,25,53,10
1-Jul-07,0.476,6,24,52,9
8-Jul-07,0.479,6,24,50,9
15-Jul-07,0.466,7,23,51,9
22-Jul-07,0.457,6,18,49,8
29-Jul-07,0.459,6,23,49,7
5-Aug-07,0.461,6,25,50,8
12-Aug-07,0.491,7,27,50,7
19-Aug-07,0.507,7,31,49,8
26-Aug-07,0.574,7,28,50,9
2-Sep-07,0.659,8,36,53,8
9-Sep-07,0.761,8,39,50,8
16-Sep-07,0.881,10,52,51,10
23-Sep-07,0.945,11,45,51,9
30-Sep-07,1.044,13,43,54,10
7-Oct-07,1.043,15,42,50,11
14-Oct-07,1.14,18,45,53,13
21-Oct-07,1.187,18,48,52,13
28-Oct-07,1.332,20,52,57,15
4-Nov-07,1.483,23,53,52,19
11-Nov-07,1.568,22,65,54,28
18-Nov-07,1.281,21,65,54,31
25-Nov-07,1.667,27,77,54,41
2-Dec-07,1.537,24,67,54,47
9-Dec-07,1.468,22,61,52,47
16-Dec-07,1.566,25,71,51,47
23-Dec-07,1.708,28,79,54,43
30-Dec-07,2.232,32,100,57,41
6-Jan-08,2.162,29,73,59,48
13-Jan-08,1.893,29,67,59,48
20-Jan-08,2.524,37,79,61,44
27-Jan-08,3.395,54,79,66,46
3-Feb-08,4.182,78,86,72,44
10-Feb-08,4.37,85,84,72,53
17-Feb-08,4.61,100,82,69,69
24-Feb-08,3.93,84,74,71,78
2-Mar-08,3.031,62,62,66,77
9-Mar-08,2.481,48,57,64,63
16-Mar-08,1.975,37,50,59,32
23-Mar-08,1.725,28,50,62,27
30-Mar-08,1.467,22,42,60,16
6-Apr-08,1.263,18,38,60,13
13-Apr-08,1.196,15,39,59,12
20-Apr-08,1.028,12,33,59,11
27-Apr-08,0.952,11,33,56,10
4-May-08,0.884,9,31,60,9
11-May-08,0.858,8,32,59,10
18-May-08,1.103,8,31,55,9
25-May-08,0.761,7,28,58,10
